Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Total,,,,154042,0:03:54,64.42,0,0,0,155407,10022.2295,1788,1722932,3.44
Zo7Ll82R0oQ,Quero saber: O que fazer se um carrapato me picar?,"Jul 6, 2023",294,32969,0:01:57,,,,,32969,1079.0633,145,480137,4.48
SYbcvVgQpVE,"Aula Magna: formação universitária, relações étnico-raciais e esperança","May 7, 2025",9428,2201,0:18:47,,,,,2201,689.21,121,14678,5.82
7i-XVDZDFh4,"Aula Magna:""Cartas à juventude universitária: como cuidar (e receber cuidado) da nossa saúde mental""","Oct 30, 2024",11246,1595,0:21:33,,,,,1595,573.1108,30,23746,3.63
j4w3TEr21pM,Segundo Debate - Pesquisa Eleitoral - Gestão 2025-2029,"Aug 30, 2024",7590,1502,0:19:32,,,,,1502,489.147,18,10521,4.5
knCShFe6Zuk,Quero saber – O que é ser uma pessoa trans? E quais as origens da transfobia?,"Nov 27, 2023",205,23583,0:01:04,,,,,23583,423.549,68,20025,2.26
vGDSPf3SBS4,Primeiro Debate - Pesquisa eleitoral - Gestão 2025-2029,"Aug 26, 2024",6233,1629,0:14:44,,,,,1629,400.3269,25,9396,5.98
i70zcWr5qRE,Ética na Pesquisa,"Feb 19, 2024",1052,3799,0:04:45,,,,,3799,300.8381,50,12351,9.62
W7FT3-rRn60,"Conexão Federal: Mulheres da família Prestes, com Anita Prestes","Nov 21, 2023",4064,1388,0:12:26,,,,,1388,287.8927,24,19271,4.36
qoJlRObrl74,Reunião Extraordinária do ConsUni,"Dec 13, 2024",16021,400,0:32:04,,,,,400,213.8178,7,2492,8.75
MIXJLteZPdM,UFSCar 55 anos,"Mar 14, 2025",10613,1141,0:11:12,,,,,1141,213.0267,37,5850,7.62
gKEbTs1YkXo,Quero saber - O que faz um Gestor Ambiental?,"Feb 5, 2024",814,3106,0:04:00,,,,,3106,207.3671,64,33686,4.58
v3v9TRTebAo,Audiência pública - ConsUni,"Apr 25, 2025",11021,486,0:20:06,,,,,486,162.906,8,3068,6.13
