"Identificação da publicação","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (segundos)","Horário de publicação","Link permanente","Tipo de publicação","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18056084636272180,17841407844868491,ufscaroficial,UFSCar,"A UFSCar já está lá na rede vizinha... vem conferir! 👀 Procure por UFSCar Oficial 😉

#ufscar #vídeos #universidadepublica",2,"04/23/2025 07:48",https://www.instagram.com/reel/DIywAgBp-9_/,"Reel do Instagram",,Vitalício,75830,1217,119,16,29,21543,2
18081588292847418,17841407844868491,ufscaroficial,UFSCar,"O Instituto de Estudos Avançados e Estratégicos (IEAE/UFSCar) acaba de abrir inscrições para a seleção de até 5 (cinco) propostas de Cátedras de Curta Duração, com vigência de 1 (um) ano a partir de março de 2026, conforme os termos do edital. 

As Cátedras são espaços acadêmicos voltados à produção de conhecimento de excelência, com impacto social e articulação entre diferentes áreas do saber. Coordenadas por uma ou um titular, elas operam em redes colaborativas formadas por pesquisadoras e pesquisadores da UFSCar e de instituições parceiras no Brasil e no exterior. 

Com forte caráter inter e transdisciplinar, e com o objetivo de fomentar pesquisas inovadoras, eventos científicos e ações formativas em temas de alta relevância social, científica e institucional. 

📚 Quer saber mais? Acesse o link na bio ou site do IEAE e confira o edital completo: https://www.ieae.ufscar.br/pt-br

#Oportunidades #UFSCar #CátedrasIEAE #UFSCar #CiênciaComImpacto #PesquisaAvançada #IEAEUFSCar",0,"06/30/2025 11:18",https://www.instagram.com/p/DLiOM4LA0Ce/,"Imagem do Instagram",,Vitalício,2071,18,1,1,4,1203,0
17909343750174159,17841447386220551,sibiufscar,"SIBi UFSCar","Encerramos hoje, 30 de junho de 2025, a primeira edição do Curso On-line de Iniciação em Pesquisa Científica!

Foram meses de aprendizado e troca, desde abril, com conteúdos sobre pesquisa científica, ética e disseminação do conhecimento.

Estudantes, docentes e técnicos de várias universidades do Brasil participaram dessa jornada, e tivemos o cuidado de garantir acessibilidade, com recursos como LIBRAS nas videoaulas.

Se você não conseguiu participar deste ciclo, não se preocupe! Novas edições do curso serão oferecidas no próximo ano. Acompanhe nossas divulgações!

Nosso agradecimento especial à Sead, CoSetils e Proex da UFSCar, e à Unifesp, pelo apoio essencial.

#ufscar #sibiufscar #bibliotecas #bibliotecasuniversitárias #bibliotecasufscar #sistemadebibliotecas #coinfo",107,"06/30/2025 09:00",https://www.instagram.com/reel/DLh-fCVgANg/,"Reel do Instagram",,Vitalício,1323,19,1,1,0,,
17993203508731980,17841407844868491,ufscaroficial,UFSCar,"📚💭 Como estão a saúde mental e os relacionamentos dos estudantes universitários no Brasil?

Uma pesquisa do Programa de Pós-Graduação em Psicologia da UFSCar quer entender os desafios que impactam a vida acadêmica, emocional e afetiva de estudantes de graduação em todo o país. O estudo aborda temas como saúde mental, desempenho acadêmico, vivências adversas e até o abuso digital em relacionamentos íntimos — uma realidade ainda pouco explorada no Brasil.

🎓💡 Se você é estudante de graduação, participe! A pesquisa é online, voluntária e anônima. Leva só de 25 a 30 minutos.

👉 Acesse: https://bit.ly/4k5UCr4

🔎 Mais informações no @laprevufscar ou pelo e-mail: projetoufscar2025@gmail.com.
 
Saiba mais no portal da UFSCar, em ufscar.br! 

#Pesquisa #SaúdeMental #VidaAcadêmica #UFSCar #Psicologia #ViolênciaDigital #Relacionamentos #Universitários",0,"06/30/2025 06:02",https://www.instagram.com/p/DLhqFhMga8A/,"Imagem do Instagram",,Vitalício,8637,166,21,0,4,5318,1
17869294860307049,17841407844868491,ufscaroficial,UFSCar,"Em 28 de junho celebramos o Dia Internacional do Orgulho LGBTQIA+, data que simboliza a luta por direitos civis, visibilidade e igualdade de pessoas lésbicas, gays, bissexuais, transexuais, queer, intersexo, assexuais e demais nomenclaturas da diversidade. Neste dia do Orgulho, a UFSCar reforça mais uma vez seu compromisso com a construção de uma universidade diversa e comprometida com a luta pela equidade.

A Administração Superior tem empenhado esforços nessa construção. Em 2023, aprovamos no Conselho Universitário (ConsUni) a Política de Prevenção, Redução e Mitigação de Danos da Violência, em 2024 aprovamos a Política de Identidade de Gênero da UFSCar e a Resolução ConsUni Nº 8/2024, que determina procedimentos em casos de diferentes tipos de violência, incluindo a de gênero e sexualidade. Recentemente, em abril de 2025, o ConsUni aprovou a Política de Acesso e Permanência de Pessoas Trans na Graduação. 

Por intermédio da Coordenadoria de Gênero e Diversidade da Secretaria Geral de Ações Afirmativas, Diversidade e Equidade (SAADE), temos desenvolvido campanhas institucionais contra a LGBTfobia, publicado cartilhas informativas e realizado atividades de formação e diálogo com a comunidade acadêmica. O Projeto de Desenvolvimento Institucional (ProDIn) Acolhe UFSCar, vinculado à Pró-Reitoria de Assuntos Comunitários e Estudantis (ProACE) também desenvolve ações de acolhimento da comunidade LGBTQIA+. 

As normativas e ações institucionais que temos desenvolvido são essenciais para que a UFSCar se transforme, mas ainda temos muito a avançar para garantir que a Universidade seja um lugar seguro e acolhedor para todas as pessoas. Por isso, seguiremos trabalhando para que nossa instituição respeite e reconheça toda a diversidade que compõe a sociedade brasileira e para que essas ações transbordem para o ambiente externo à nossa Universidade.

#pridemonth #orgulholgbt #ufscar",0,"06/28/2025 05:01",https://www.instagram.com/p/DLcZfbtsOsh/,"Imagem do Instagram",,Vitalício,22394,637,116,10,5,14249,2
17990574533672560,17841407844868491,ufscaroficial,UFSCar,"Nesta sexta-feira, 27/6, o Conselho Universitário (ConsUni) aprovou, com 39 votos favoráveis e uma abstenção, a proposta de concessão de título Doutora Honoris Causa à cantora, compositora, intelectual ativista e deputada estadual Leci Brandão.

A iniciativa de concessão do título partiu de uma comissão composta por docentes do Departamento de Ciências Sociais (DCSo), do Departamento de Artes e Comunicação (DAC), do Departamento de Letras (DL) e docentes da Universidade de Brasília (UnB) e da Universidade Federal de Mato Grosso (UFMT). A proposta já havia sido aprovada por aclamação pelo Conselho de Centro do CECH.

Mais informações: https://www.soc.ufscar.br/consuni/2025/arquivos/consuni-282/hc-leci.pdf",0,"06/27/2025 13:01",https://www.instagram.com/p/DLarmSXin2o/,"Imagem do Instagram",,Vitalício,25973,710,83,16,4,16097,1
17871607638387445,17841407844868491,ufscaroficial,UFSCar,"Nos dias 1 e 2 de julho, o Campus Sorocaba da UFSCar sedia a nona edição da Feira do Livro da EdUFSCar.

Participam da Feira as editoras Blucher, Boitempo, Catapulta, Companhia das Letras, Companhia das Letrinhas, Editora 34, Elefante, Grupo Pensamento, HarperCollins, L&PM, Parábola, Record, Rocco, Todavia, Unesp e Vozes. Os títulos dessas editoras estarão com 20% de desconto. Já os livros da EdUFSCar terão até 50%.

A Feira é aberta ao público e poderá ser visitada das 9 às 19h30, no saguão do Departamento de Geografia, Turismo e Humanidades (DGTH), Campus Sorocaba.",44,"06/27/2025 10:35",https://www.instagram.com/reel/DLaa0mdAifQ/,"Reel do Instagram",,Vitalício,6412,75,17,7,2,4434,0
18086183329739266,17841407844868491,ufscaroficial,UFSCar,"Está chegando! De 30 de junho a 4 de julho o Campus São Carlos recebe a 5ª edição do Festival Somos Cultura. Realizado pela Coordenadoria de Cultura (CCult) da Pró-Reitoria de Extensão (ProEx) da UFSCar com apoio de muitos setores e coletivos da Universidade, o evento retorna a São Carlos com uma programação diversa, celebrando a arte, a cultura e a potência da comunidade acadêmica. Nesta edição especial, o Festival celebra os 55 anos da UFSCar, promovendo um espaço de trocas, vivências e valorização da cultura em sua máxima expressão.

Todas as atividades são gratuitas e sem necessidade de inscrição prévia. Todas as oficinas e vivências oferecem certificado. A revista com a programação completa já está disponível e pode ser acessada em https://online.fliphtml5.com/osrhb/cjrw e no perfil @cultura_ufscar.

Além de participar das atividades, a partir da segunda-feira, dia 30, a comunidade UFSCar poderá acompanhar a cobertura do festival no perfil oficial da Universidade no Instagram, o @ufscaroficial, e no perfil da Coordenadoria de Cultura, o @cultura_ufscar. Participe também da cobertura marcando @ufscaroficial e @cultura_ufscar nas fotos e vídeos que você fizer durante o Somos Cultura!

Vai ser incrível! Participe!",0,"06/27/2025 09:03",https://www.instagram.com/p/DLaQXhRAa7Q/,"Carrossel do Instagram",,Vitalício,6980,86,8,1,4,2946,0
18104233426546977,17841407844868491,ufscaroficial,UFSCar,"🌱 Herbicida sustentável e seletivo!

Pesquisadores da UFSCar e de outras quatro universidades federais estão desenvolvendo um novo composto para o controle de plantas invasoras — com baixa toxicidade, alto poder de ação e produzido a partir de fontes renováveis 🌿

A pesquisa aposta em moléculas que desestabilizam a fotossíntese das invasoras, sem afetar as culturas agrícolas. E o melhor: tudo com matéria-prima vegetal, sem derivados do petróleo!

👨‍🔬 “Buscamos um herbicida que atinja apenas a planta indesejada, preservando o ambiente e a produção”, explica Marcio Paixão, docente da UFSCar e coordenador do projeto.

Assista ao vídeo completo no canal UFSCar Oficial no YouTube.

UFSCar #CiênciaBrasileira #AgroSustentável #Inovação #HerbicidaVerde",147,"06/27/2025 06:01",https://www.instagram.com/reel/DLZ7dD2gAiI/,"Reel do Instagram",,Vitalício,4599,86,14,2,1,3019,2
17910974943152497,17841407844868491,ufscaroficial,UFSCar,"#tbt Em 2023, a UFSCar promoveu a campanha ""Aprenda, ensine, violência é crime"", onde abordou diversos tipos de violência que ainda persistem na nossa sociedade. Neste mês do Orgulho LGBTQIA+ relembramos um dos vídeos dessa campanha, onde a nossa comunidade afirma: homofobia é crime! Denuncie!

#orgulholgbtq #ufscar #violencianao #homofobia",107,"06/26/2025 11:33",https://www.instagram.com/reel/DLX8PmnJi6o/,"Reel do Instagram",,Vitalício,8358,239,104,11,7,5214,0
