id_publicacao,formato,Visualizações,Alcance,engajamento_%,Curtidas,Comentários,Compartilhamentos,Salvamentos,sucesso
"A UFSCar já está lá na rede vizinha... vem conferir! 👀 Procure por UFSCar Oficial 😉

#ufscar #vídeos #universidadepublica",reel,75830,21543.0,6.410434944065358,1217,16,119,29,1
"O Instituto de Estudos Avançados e Estratégicos (IEAE/UFSCar) acaba de abrir inscrições para a seleção de até 5 (cinco) propostas de Cátedras de Curta Duração, com vigência de 1 (um) ano a partir de março de 2026, conforme os termos do edital. 

As Cátedras são espaços acadêmicos voltados à produção de conhecimento de excelência, com impacto social e articulação entre diferentes áreas do saber. Coordenadas por uma ou um titular, elas operam em redes colaborativas formadas por pesquisadoras e pesquisadores da UFSCar e de instituições parceiras no Brasil e no exterior. 

Com forte caráter inter e transdisciplinar, e com o objetivo de fomentar pesquisas inovadoras, eventos científicos e ações formativas em temas de alta relevância social, científica e institucional. 

📚 Quer saber mais? Acesse o link na bio ou site do IEAE e confira o edital completo: https://www.ieae.ufscar.br/pt-br

#Oportunidades #UFSCar #CátedrasIEAE #UFSCar #CiênciaComImpacto #PesquisaAvançada #IEAEUFSCar",imagem,2071,1203.0,1.99501246882793,18,1,1,4,0
"Encerramos hoje, 30 de junho de 2025, a primeira edição do Curso On-line de Iniciação em Pesquisa Científica!

Foram meses de aprendizado e troca, desde abril, com conteúdos sobre pesquisa científica, ética e disseminação do conhecimento.

Estudantes, docentes e técnicos de várias universidades do Brasil participaram dessa jornada, e tivemos o cuidado de garantir acessibilidade, com recursos como LIBRAS nas videoaulas.

Se você não conseguiu participar deste ciclo, não se preocupe! Novas edições do curso serão oferecidas no próximo ano. Acompanhe nossas divulgações!

Nosso agradecimento especial à Sead, CoSetils e Proex da UFSCar, e à Unifesp, pelo apoio essencial.

#ufscar #sibiufscar #bibliotecas #bibliotecasuniversitárias #bibliotecasufscar #sistemadebibliotecas #coinfo",reel,1323,,,19,1,1,0,0
"📚💭 Como estão a saúde mental e os relacionamentos dos estudantes universitários no Brasil?

Uma pesquisa do Programa de Pós-Graduação em Psicologia da UFSCar quer entender os desafios que impactam a vida acadêmica, emocional e afetiva de estudantes de graduação em todo o país. O estudo aborda temas como saúde mental, desempenho acadêmico, vivências adversas e até o abuso digital em relacionamentos íntimos — uma realidade ainda pouco explorada no Brasil.

🎓💡 Se você é estudante de graduação, participe! A pesquisa é online, voluntária e anônima. Leva só de 25 a 30 minutos.

👉 Acesse: https://bit.ly/4k5UCr4

🔎 Mais informações no @laprevufscar ou pelo e-mail: projetoufscar2025@gmail.com.
 
Saiba mais no portal da UFSCar, em ufscar.br! 

#Pesquisa #SaúdeMental #VidaAcadêmica #UFSCar #Psicologia #ViolênciaDigital #Relacionamentos #Universitários",imagem,8637,5318.0,3.5915757803685597,166,0,21,4,0
"Em 28 de junho celebramos o Dia Internacional do Orgulho LGBTQIA+, data que simboliza a luta por direitos civis, visibilidade e igualdade de pessoas lésbicas, gays, bissexuais, transexuais, queer, intersexo, assexuais e demais nomenclaturas da diversidade. Neste dia do Orgulho, a UFSCar reforça mais uma vez seu compromisso com a construção de uma universidade diversa e comprometida com a luta pela equidade.

A Administração Superior tem empenhado esforços nessa construção. Em 2023, aprovamos no Conselho Universitário (ConsUni) a Política de Prevenção, Redução e Mitigação de Danos da Violência, em 2024 aprovamos a Política de Identidade de Gênero da UFSCar e a Resolução ConsUni Nº 8/2024, que determina procedimentos em casos de diferentes tipos de violência, incluindo a de gênero e sexualidade. Recentemente, em abril de 2025, o ConsUni aprovou a Política de Acesso e Permanência de Pessoas Trans na Graduação. 

Por intermédio da Coordenadoria de Gênero e Diversidade da Secretaria Geral de Ações Afirmativas, Diversidade e Equidade (SAADE), temos desenvolvido campanhas institucionais contra a LGBTfobia, publicado cartilhas informativas e realizado atividades de formação e diálogo com a comunidade acadêmica. O Projeto de Desenvolvimento Institucional (ProDIn) Acolhe UFSCar, vinculado à Pró-Reitoria de Assuntos Comunitários e Estudantis (ProACE) também desenvolve ações de acolhimento da comunidade LGBTQIA+. 

As normativas e ações institucionais que temos desenvolvido são essenciais para que a UFSCar se transforme, mas ainda temos muito a avançar para garantir que a Universidade seja um lugar seguro e acolhedor para todas as pessoas. Por isso, seguiremos trabalhando para que nossa instituição respeite e reconheça toda a diversidade que compõe a sociedade brasileira e para que essas ações transbordem para o ambiente externo à nossa Universidade.

#pridemonth #orgulholgbt #ufscar",imagem,22394,14249.0,5.389851919432942,637,10,116,5,1
"Nesta sexta-feira, 27/6, o Conselho Universitário (ConsUni) aprovou, com 39 votos favoráveis e uma abstenção, a proposta de concessão de título Doutora Honoris Causa à cantora, compositora, intelectual ativista e deputada estadual Leci Brandão.

A iniciativa de concessão do título partiu de uma comissão composta por docentes do Departamento de Ciências Sociais (DCSo), do Departamento de Artes e Comunicação (DAC), do Departamento de Letras (DL) e docentes da Universidade de Brasília (UnB) e da Universidade Federal de Mato Grosso (UFMT). A proposta já havia sido aprovada por aclamação pelo Conselho de Centro do CECH.

Mais informações: https://www.soc.ufscar.br/consuni/2025/arquivos/consuni-282/hc-leci.pdf",imagem,25973,16097.0,5.050630552276822,710,16,83,4,1
"Nos dias 1 e 2 de julho, o Campus Sorocaba da UFSCar sedia a nona edição da Feira do Livro da EdUFSCar.

Participam da Feira as editoras Blucher, Boitempo, Catapulta, Companhia das Letras, Companhia das Letrinhas, Editora 34, Elefante, Grupo Pensamento, HarperCollins, L&PM, Parábola, Record, Rocco, Todavia, Unesp e Vozes. Os títulos dessas editoras estarão com 20% de desconto. Já os livros da EdUFSCar terão até 50%.

A Feira é aberta ao público e poderá ser visitada das 9 às 19h30, no saguão do Departamento de Geografia, Turismo e Humanidades (DGTH), Campus Sorocaba.",reel,6412,4434.0,2.277852954442941,75,7,17,2,0
"Está chegando! De 30 de junho a 4 de julho o Campus São Carlos recebe a 5ª edição do Festival Somos Cultura. Realizado pela Coordenadoria de Cultura (CCult) da Pró-Reitoria de Extensão (ProEx) da UFSCar com apoio de muitos setores e coletivos da Universidade, o evento retorna a São Carlos com uma programação diversa, celebrando a arte, a cultura e a potência da comunidade acadêmica. Nesta edição especial, o Festival celebra os 55 anos da UFSCar, promovendo um espaço de trocas, vivências e valorização da cultura em sua máxima expressão.

Todas as atividades são gratuitas e sem necessidade de inscrição prévia. Todas as oficinas e vivências oferecem certificado. A revista com a programação completa já está disponível e pode ser acessada em https://online.fliphtml5.com/osrhb/cjrw e no perfil @cultura_ufscar.

Além de participar das atividades, a partir da segunda-feira, dia 30, a comunidade UFSCar poderá acompanhar a cobertura do festival no perfil oficial da Universidade no Instagram, o @ufscaroficial, e no perfil da Coordenadoria de Cultura, o @cultura_ufscar. Participe também da cobertura marcando @ufscaroficial e @cultura_ufscar nas fotos e vídeos que você fizer durante o Somos Cultura!

Vai ser incrível! Participe!",carrossel,6980,2946.0,3.360488798370672,86,1,8,4,0
"🌱 Herbicida sustentável e seletivo!

Pesquisadores da UFSCar e de outras quatro universidades federais estão desenvolvendo um novo composto para o controle de plantas invasoras — com baixa toxicidade, alto poder de ação e produzido a partir de fontes renováveis 🌿

A pesquisa aposta em moléculas que desestabilizam a fotossíntese das invasoras, sem afetar as culturas agrícolas. E o melhor: tudo com matéria-prima vegetal, sem derivados do petróleo!

👨‍🔬 “Buscamos um herbicida que atinja apenas a planta indesejada, preservando o ambiente e a produção”, explica Marcio Paixão, docente da UFSCar e coordenador do projeto.

Assista ao vídeo completo no canal UFSCar Oficial no YouTube.

UFSCar #CiênciaBrasileira #AgroSustentável #Inovação #HerbicidaVerde",reel,4599,3019.0,3.4117257369990064,86,2,14,1,0
"#tbt Em 2023, a UFSCar promoveu a campanha ""Aprenda, ensine, violência é crime"", onde abordou diversos tipos de violência que ainda persistem na nossa sociedade. Neste mês do Orgulho LGBTQIA+ relembramos um dos vídeos dessa campanha, onde a nossa comunidade afirma: homofobia é crime! Denuncie!

#orgulholgbtq #ufscar #violencianao #homofobia",reel,8358,5214.0,6.923667050249328,239,11,104,7,0
"Uma pesquisa nacional na área da Psicologia, com participação de pesquisadores da UFSCar, está buscando adaptar, para a população brasileira, o RIAS-2, um instrumento amplamente utilizado para avaliar a inteligência de maneira geral, além de verificar como uma pessoa se lembra das coisas e a rapidez com que consegue resolver problemas.

Para isso, estudantes do curso de graduação em Psicologia da UFSCar, sob orientação da professora Monalisa Muniz, do Departamento de Psicologia (DPsi), estão convidando pessoas de 3 a 20 anos para participar do estudo, intitulado “Evidências de validade, precisão e estudos de normatização para a adaptação do instrumento RIAS-2”. 

📍 As aplicações são presenciais e acontecem em São Carlos e outras cidades do Estado de São Paulo.

📝 O teste dura cerca de 1 hora e os participantes poderão ter acesso ao resultado posteriormente.

💡 Interessados devem preencher o formulário no link: https://bit.ly/44tZphq

Saiba mais no portal da UFSCar, em ufscar.br! 

#Pesquisa #Psicologia #UFSCar #Inteligência #CIência",imagem,6889,3702.0,1.728795245813074,56,0,7,1,0
"✨ 🌱 🌏 Chegou a vez do Campus Lagoa do Sino receber o BioFuturo Na Cidade. Neste sábado, 28 de junho, a partir das 7h30, as atividades do projeto serão realizadas no Lago Municipal de Campina do Monte Alegre. 

O projeto é uma ação do grupo de trabalho temático “Biodiversidade para o Futuro” do Instituto de Estudos Avançados e Estratégicos (IEAE), da UFSCar. O BioFuturo na Cidade propõe gerar mudanças e produzir conhecimentos acerca da biodiversidade e serviços ecossistêmicos das áreas verdes urbanas nas cidades. Confira no vídeo como foi a última edição do evento, em Sorocaba.

A programação completa da edição do BioFuturo Na Cidade, em Campina do Monte Alegre está disponível no perfil @biofuturonacidade. Confira. 

💚 Participe do BioFuturo Na Cidade e descubra como a natureza vive e resiste no espaço urbano! 

#biodiversidade #ciência #BioFuturoNaCidade #biologia
#cienciacidada",reel,4923,3221.0,3.011487115802546,83,4,9,1,0
"🚀 A UFSCar alcançou seu melhor resultado no THE Impact Rankings 2025, que avalia o impacto social e ambiental das universidades com base nos ODS da ONU! 🌍✨

🌱 Quer saber como a gente chegou lá?

➡️ Passe para o lado e confira os destaques!

Para saber mais, acesse a matéria completa no portal da UFSCar, em ufscar.br. 

#UFSCar #ODS #THEImpactRankings #Agenda2030 #UniversidadePública",carrossel,38879,17031.0,7.474605131818449,963,18,247,45,1
"A Universidade Federal de São Carlos (UFSCar) está oferecendo vagas de Residências Médicas e Multiprofissionais em Saúde para início em 2026. O processo seletivo será por meio do Exame Nacional de Residências (Enare) e as inscrições poderão ser realizadas no período de 7 a 18 de julho para as Residências Médicas e de hoje, 25 de junho, a 18 de julho para as Residências Multiprofissionais.

Ao todo, são 43 vagas, sendo 14 vagas para as Residências Médicas, distribuídas entre os Programas de Residência Médica em Clínica Médica, Pediatria, Medicina de Família e Comunidade e Psiquiatria, e 29 vagas para as Residências Multiprofissionais, distribuídas entre os Programas de Residência Multiprofissional em Saúde da Família, Atenção à Saúde Mental e Atenção à Saúde do Adulto e Idoso.

Os editais com as informações completas estão acessíveis no site do Enare (https://enare.ebserh.gov.br).",imagem,18870,11331.0,3.0359191598270234,208,0,110,26,0
"Histórias que fazem a UFSCar

Sabrina Campos é egressa do curso de Agroecologia da UFSCar, campus Araras. Durante a graduação se descobriu apaixonada no curso que escolheu e hoje percebe o quanto amadureceu durante sua trajetória acadêmica 

As oportunidades que viveu dentro da UFSCar, de grupos de estudos a empresa Júnior, foram o subsídio para sua formação pessoal e profissional.

Sabrina destaca a importância da plataforma Alumni para quem já passou pela UFSCar e quem está chegando agora: “Ver o que o egresso está fazendo, no que está trabalhando, conseguir se basear [...] eu acho que isso abre um leque de opções, principalmente para você se relacionar, ver aquilo que você quer para sua vida”.

📲 cadastre-se na Alumni UFSCar e faça parte dessa rede que conecta histórias, conquistas e oportunidades! 

🌐 acesse alumni.ufscar.br

Uma vez UFSCar, sempre UFSCar!

#SouAlumniUFSCar",reel,6471,3913.0,3.066700741119346,108,4,7,1,0
"Há muitas possibilidades para quem quer trabalhar na área ambiental! Na UFSCar, um dos caminhos é o curso de Engenharia Ambiental oferecido no campus Lagoa do Sino. Neste vídeo que o estudante e bolsista do projeto UFSCar Escola Gabriel Sanefuji fez pra gente, você fica sabendo de tudo sobre o curso! Vem ver!

#ufscar #ufscarlagoadosino #engenhariaambiental #visauniversitaria #vlog

------------
Ficha técnica:
Produção, roteiro, imagens e edição de Gabriel Sanefuji @gab.sanne
Supervisão de Agnes Arato (CCS-UFSCar)",reel,7485,4203.0,3.402331667856293,126,1,13,3,0
"🪟🐦 Colisões de aves com vidraças: um problema invisível, mas alarmante!

Um estudo internacional, com participação do professor Augusto João Piratelli, do Campus Sorocaba da UFSCar, resultou no maior banco de dados já compilado sobre o tema na região Neotropical — que vai do México à Patagônia.

Os dados revelam que, ao contrário do que se pensa, a maioria dos acidentes não acontece em grandes prédios, mas em construções baixas, como casas, áreas rurais e universidades. No Brasil, o Campus Sorocaba da UFSCar é referência nesse monitoramento e no teste de soluções preventivas.

A pesquisa destaca ainda a necessidade urgente de políticas públicas que considerem a realidade da nossa região e ajudem a tornar as cidades mais seguras para as aves e para toda a biodiversidade.

📊 O banco de dados está disponível em acesso aberto na plataforma Zenodo e pode apoiar decisões mais eficazes!

Para mais informações, acesse o portal da UFSCar em ufscar.br! 

#UFSCar #Ciência #Conservação #Aves #Biodiversidade #MeioAmbiente #Pesquisa",imagem,40406,27531.0,5.005266790163816,1147,27,156,48,1
"🎓🌱 Dia Internacional das Mulheres na Engenharia | 23 de Junho

Maria Heloísa e Maria Júlia são estudantes de Engenharia Agronômica no Campus Lagoa do Sino da UFSCar. Filhas de agricultores e ex-alunas de escola pública, elas são as primeiras da família a ingressar em uma universidade pública.

A trajetória dessas jovens mostra como a parceria entre escola pública e universidade pode abrir caminhos e transformar vidas. 🌟

💬 “Estar aqui é a realização de um sonho.”

No Dia Internacional das Mulheres na Engenharia, celebramos histórias como a delas — que nos lembram da força, da dedicação e do papel fundamental das mulheres na construção de um futuro mais justo, sustentável e igualitário. 💪🏽👩🏽🔬🌾

-
Ficha técnica:
Imagens e entrevistas: Maria Alice Pezzoni e Tiago Santi 
Direção: Tiago Santi
Coordenação geral: Agnes Arato

#MulheresNaEngenharia #UFSCar #LagoaDoSino #TransformaçãoPelaEducação #OrgulhoUFSCar",reel,21024,,,577,36,64,0,0
"Se a polícia é um tema relativamente novo entre os historiadores, estava quase intocado o problema levantado neste livro, o do surgimento da polícia e da segurança pública em meio ao regime escravista que vigorava no Brasil do século XIX. Em ""Policiar nos tempos da escravidão"", a historiadora Larissa Biato de Azevedo explica a criação de cargos e funções policiais, a organização da Polícia e analisa as ocorrências envolvendo escravos, libertos e africanos livres tratadas pelas autoridades da época. Ao mobilizar variadas fontes para entender a relação entre o dever de policiar, a nascente ideia de segurança pública e a escravidão, este livro provoca uma reflexão sobre a polícia no tempo e traz uma necessária leitura sobre a instituição no Brasil Império.

A obra está disponível no site da EdUFSCar: https://edufscar.com.br",reel,9862,6236.0,4.425914047466325,210,12,37,17,0
"Planejando começar o mestrado ou o doutorado ainda esse ano, ou iniciar os seus estudos como aluno especial? Então, não deixe de conferir a lista com os programas com edital publicado e/ou inscrições abertas nos campi São Carlos e Sorocaba da UFSCar. 

Acesse em: https://bit.ly/mestrado-doutorado-na-ufscar ou visite o Portal da UFSCar: www.ufscar.br.",imagem,31786,22472.0,4.632431470274119,790,10,137,104,0
"Você tem vontade de empreender? Conhece as oportunidades que a UFSCar oferece para isso?

Fernando Guerreiro é egresso do curso de Ciências Econômicas da UFSCar Sorocaba e atualmente é aluno de mestrado do Programa de Pós-Graduação de Ciência, Tecnologia e Sociedade de São Carlos.
Ingressou na graduação em 2019 e fundou a Liga do Empreendedorismo que se desdobrou em uma rede composta por mais de 100 universidades do Brasil. 
A partir dessa iniciativa, ampliou seu vínculo com a UFSCar, através do Departamento de Computação do campus São Carlos e explorou a multidisciplinaridade dos campi ao fazer seu TCC, com orientadores desses dois departamentos, desdobrando em seu atual projeto de mestrado.

“E o legal da UFSCar é isso, eu tive minha formação, minha graduação lá em Sorocaba e agora eu também tenho oportunidade de me conectar com esses outros professores de São Carlos”, relatou Fernando.

Seu Trabalho de Conclusão de Curso foi um modelo piloto para avaliar como a Universidade impacta através das empresas filhas, empresas fundadas por pessoas que têm vínculo com a Universidade – concluindo que a Plataforma Alumni UFSCar amplia as possibilidades de conexão de iniciativas como essa

📲 cadastre-se na Alumni UFSCar e faça parte dessa rede que conecta histórias, conquistas e oportunidades! 

🌐 acesse alumni.ufscar.br

Uma vez UFSCar, sempre UFSCar!

#SouAlumniUFSCar",reel,8240,4991.0,3.325986776197155,134,7,17,8,0
