id_publicacao,itens_apriori
Quero saber: O que fazer se um carrapato me picar?,"desempenho:alto, retencao:desconhecida, duracao:curta"
"Aula Magna: formação universitária, relações étnico-raciais e esperança","desempenho:baixo, retencao:desconhecida, duracao:longa"
"Aula Magna:""Cartas à juventude universitária: como cuidar (e receber cuidado) da nossa saúde mental""","desempenho:baixo, retencao:desconhecida, duracao:longa"
Segundo Debate - Pesquisa Eleitoral - Gestão 2025-2029,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – O que é ser uma pessoa trans? E quais as origens da transfobia?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Primeiro Debate - Pesquisa eleitoral - Gestão 2025-2029,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Ética na Pesquisa,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Conexão Federal: Mulheres da família Prestes, com Anita Prestes","desempenho:baixo, retencao:desconhecida, duracao:longa"
Reunião Extraordinária do ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar 55 anos,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - O que faz um Gestor Ambiental?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Audiência pública - ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Cerimônia solene de posse da Gestão 2025-2029,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conferência IEAE - Universidade para o futuro,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conheça a UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:media"
"#6 - Conheça como funciona a Eletroterapia, recurso fisioterapêutico usado com finalidades variadas","desempenho:baixo, retencao:desconhecida, duracao:longa"
SEGrad: Mesa Redonda: A Utilização da Inteligência Artificial no Ensino de Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Abertura e Mesa: Ensino, Extensão e Pesquisa na UFSCar: um olhar para o futuro da indissociabilidade","desempenho:baixo, retencao:desconhecida, duracao:longa"
SeGrad | UFSCar 2025: Interprofissionalidade no Ensino da Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Anita no acervo de Prestes: histórias que viajam no tempo,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Roda de conversa –  Ciência e Humano,"desempenho:baixo, retencao:desconhecida, duracao:longa"
PIBID forma licenciandos para a docência em sala de aula,"desempenho:baixo, retencao:desconhecida, duracao:media"
ICC Entrevista - Vera Cêpeda sobre o Prêmio Nobel de Economia 2024,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Universidade para o Futuro - Os desafios para a Pós-Graduação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"ICC Entrevista - André Moura, sobre o Prêmio Nobel de Química 2024","desempenho:baixo, retencao:desconhecida, duracao:longa"
Reunião Extraordinária do ConsUni,"desempenho:baixo, retencao:desconhecida, duracao:longa"
281ª Reunião Ordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Quem tem Doença Pulmonar Obstrutiva Crônica deve praticar atividades físicas?,"desempenho:baixo, retencao:desconhecida, duracao:media"
279ª Reunião Ordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Palestra Bolsas de Estudos no Japão - MEXT 2026,"desempenho:baixo, retencao:desconhecida, duracao:longa"
116ª Reunião Ordinária do CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Como prevenir a violência nas escolas?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Homenagem Prof. Elson Longo - A química em materiais: da teoria à inovação,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar conta Sua História - Oswaldo Baptista Duarte Filho,"desempenho:baixo, retencao:desconhecida, duracao:longa"
