id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
Quero saber: O que fazer se um carrapato me picar?,294.0,32969,1079.0633,4.48,,145,1
"Aula Magna: formação universitária, relações étnico-raciais e esperança",9428.0,2201,689.21,5.82,,121,0
"Aula Magna:""Cartas à juventude universitária: como cuidar (e receber cuidado) da nossa saúde mental""",11246.0,1595,573.1108,3.63,,30,0
Segundo Debate - Pesquisa Eleitoral - Gestão 2025-2029,7590.0,1502,489.147,4.5,,18,0
Quero saber – O que é ser uma pessoa trans? E quais as origens da transfobia?,205.0,23583,423.549,2.26,,68,0
Primeiro Debate - Pesquisa eleitoral - Gestão 2025-2029,6233.0,1629,400.3269,5.98,,25,0
Ética na Pesquisa,1052.0,3799,300.8381,9.62,,50,0
"Conexão Federal: Mulheres da família Prestes, com Anita Prestes",4064.0,1388,287.8927,4.36,,24,0
Reunião Extraordinária do ConsUni,16021.0,400,213.8178,8.75,,7,0
UFSCar 55 anos,10613.0,1141,213.0267,7.62,,37,0
Quero saber - O que faz um Gestor Ambiental?,814.0,3106,207.3671,4.58,,64,0
Audiência pública - ConsUni,11021.0,486,162.906,6.13,,8,0
Cerimônia solene de posse da Gestão 2025-2029,8151.0,795,157.8427,3.46,,4,0
Conferência IEAE - Universidade para o futuro,11876.0,410,141.8469,1.81,,16,0
Conheça a UFSCar,457.0,3506,137.6067,5.34,,17,0
"#6 - Conheça como funciona a Eletroterapia, recurso fisioterapêutico usado com finalidades variadas",1100.0,1974,134.3743,3.44,,22,0
SEGrad: Mesa Redonda: A Utilização da Inteligência Artificial no Ensino de Graduação,8508.0,453,123.0689,1.52,,20,0
"Abertura e Mesa: Ensino, Extensão e Pesquisa na UFSCar: um olhar para o futuro da indissociabilidade",9662.0,452,114.8186,1.52,,7,0
SeGrad | UFSCar 2025: Interprofissionalidade no Ensino da Graduação,11618.0,254,102.8727,2.4,,9,0
Anita no acervo de Prestes: histórias que viajam no tempo,1116.0,1122,98.9941,4.01,,17,0
Roda de conversa –  Ciência e Humano,8393.0,288,93.7473,0.67,,0,0
PIBID forma licenciandos para a docência em sala de aula,408.0,1693,93.3394,6.92,,14,0
